,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
3658,3658,Cambodian Local Private Cooking Class,Cooking-Classes,, 3 hours (approx.),$25.00 ,"Hotel pickup and drop off by tuktuk, Experienced local host/guide, Ingredients for your dishes, 4 course meal that you have prepared, Lunch, Extra on a visits mushroom farm and crocodile farm with local guide","Siem Reap, Cambodia",
1976,1976,"2037. Angkor Wat Sunrise, Banteay Srei, and Major temples: Small-Group",Full-day Tours,,10–11 hours,25,"Bottled water (unlimited), Free pickup and drop-off at city hotels, Professional English-speaking tour guide, Sightseeing as specified in the description, Transportation by air-conditioned vehicle car/van","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3083,3083,"Half-Day Kompong Phluk, Tonle Sap Cruise from Siem Reap",Nature-and-Wildlife,, 3 to 5 hours (approx.),$15.00 ,"NOTE : This is low water season, so for view of the lake not so beautiful like high water season., Pickup and drop off from hotel client stay (in Siem Reap), Please kindly ready and wait at hotel lobby for pick up between : 1:00pm - 2:00pm","Krong Siem Reap, Cambodia",
2912,2912,Sightseeting Day Cruise with English Speaking Guide and free flow drinks,Day-Cruises,2.0, 1 hour 30 minutes (approx.),$18.00 ,"Hotel pick up, Unlimited beer and soft drinks, Fresh fruit platter, English speaking guide","Phnom Penh, Cambodia",star-5
2075,2075,2136. Khmer Private Cooking Class at a Local's Home,Cooking Classes,,3 hours,24,"Hotel pickup and drop off by tuktuk, Experienced local host/guide, Ingredients for your dishes, 4 course meal that you have prepared, Lunch, Extra on a visits mushroom farm and crocodile farm with local guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
484,484,"545. 4-Day Excursion of Angkor, Koh Ker, Beng Mealea, Tonle Sap and Waterfalls",Bus Tours,70.0,3+ days,249,"Fully vaccinated English speaking tour guide & driver, Private vehicle with A/C ( SUV/Minivan), Free cool bottle of water and towels during this tour, Free airport pick-up or drop off (1 way only)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1654,1654,1715. Angkor Ruins Tourism Japanese Call & Japanese Teaching Project,Japanese Lessons,,1 day,170,"Guide, private car, meals","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3364,3364,Full-Day Photo Tour Angkor Wat from Siem Reap,Full-day-Tours,, 12 hours (approx.),$243.59 ,"Hotel pick up & drop off, English photography instructor","Siem Reap, Cambodia",
2953,2953,Bokor Mountain Hill Station Private Tour,Nature-and-Wildlife,1.0, 7 hours (approx.),$65.00 ,"All transport, Delicious lunch, Tour guide, Boat trip","Kampot, Cambodia",star-1
3014,3014,Angkor Highlights Full-Day Tour by TukTuk,Full-day-Tours,, 8 hours (approx.),$151.00 ,"Tuk Tuk vehicle, 02 Bottles of water per guest, All service charges & government tax, English speaking tour guide, Local lunch","Siem Reap, Cambodia",
1774,1774,1835. Architecture Paths of Phnom Penh,Bus Tours,,1–10 hours,215.8,"Local English speaking guide, Tours and transfers as mentioned by private air-conditioned vehicles, Lunch at Khema la Poste, Sunset cruise with drinks and snacks., Lunch, Snacks, Bottled water, Alcoholic Beverages","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2410,2410,2471. Private Car or Van transfer Siem Reap or Phnom Penh Destination,Walking Tours,,6 hours,70,"Private transportation, Bottled water, Hotel pickup and drop-off (if airport surcharge 20USD per car), Good car with good air conditioned, Professional driver, Toilet stop","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
918,918,979.  Private Kulen Waterfall & 1000 Lingas Tour,Full-day Tours,1.0,6+ hours,69.75,"Hotel pick-up and drop off (if requested), Transport by your chosen vehicle, Bottled water & Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1646,1646,1707. 1Day Beng Mealea & Kampong Khleang Village With Great Local Guide,Bus Tours,,5–7 hours,80.77,"Experienced English-Speaking Guide & Driver, Air-conditioned vehicle, Mineral Water, cool towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1026,1026,"1087. Cooking Class NEC - Market Tour - Cook with Purpose, Fun, Educational & Offer",Cooking Classes,1.0,3 hours,56.42, Welcome healthy drink  Local Market Tours (*) accompany by the chef for the whole activities  Lunch (Your own cooked foods) with a local beer per person  Foods offering to Monks or Local people,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1030,1030,1091. Angkor Wat 2 day private Tours,Classic Car Tours,1.0,2 days,150,"English Speaking Tour Guide, Bottled water, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
882,882,943. Cambodia Wildlife Sanctuary and Countryside Tour,Full-day Tours,2.0,6+ hours,149,"Lunch, All Fees and Taxes, Ticket, Transportation, English tour guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
1335,1335,"1396. Banteay Srei, Banteay Samre and Sunset at Pre Rup temple",Bus Tours,,5–6 hours,25,"Experienced & safe driver, Free cool & cool towels during touring, All local applicable taxes, English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2746,2746,Siem Reap and Phnom Penh 5-Day Tour,Multi-day-Tours,, 5 days  (approx.),$240.39 ,"Pick Up & Drop Off in Siem Reap or in Phnom Penh, Car, Van or Minibus with A/C, Cool Water and Cool Towels","Siem Reap, Cambodia",
2788,2788,Private Taxi Transfer From Phnom Penh to Siem Reap with English Speaking Driver,Private-Drivers,9.0, 5 to 6 hours (approx.),$65.00 ,"Gasoline, Tolls, Parking., Barthroom and food break, Passenger insurance","Phnom Penh, Cambodia",star-5
2713,2713,Kirirom National Park Private Day Tour from Phnom Penh,Day-Trips,3.0, 7 hours (approx.),$127.00 ,"Hotel pickup and drop-off, Transport by private air-conditioned vehicle, English-speaking guide, Bottled water, Local taxes","Phnom Penh, Cambodia",star-4.5
364,364,425. Private Departure Transfer: Hotel to Siem Reap International Airport (REP),20 minutes,,20 minutes,15,"Free waiting time: up to 30 mins from the appointed time at your hotel., Private transportation with an experienced and helpful driver., Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2125,2125,2186. Kulen Mountain Trekking Tour,Full-day Tours,,6+ hours,90,"Cold towel & Bottled drinking water (02 bottles/person/day), Kulen mountain entrance fee, Local English speaking tour guide, other language tour guides are available up on requests, Meals 01 Lunch as mentioned in the program, Private transportation with A/C, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
27,27,"58. 2hours Private Sunset Cruise with unlimited beer, soft drinks and Tour guide",Private and Luxury,1.0,2 hours,66.67,"Hotel pick up and drop off, A bottle of wine, Unlimited beer and soft drinks, Fresh fruit platter, Private English speaking guide, Private boat for 2 hours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
473,473,534. Private Arrival Transfer: Phnom Penh International Airport (PNH) to Hotel,1 hour,,1 hour,22,"Air-conditioned vehicle., Free waiting time: up to 90 minutes, counting from the actual landing time., Private transportation with an experienced and helpful driver.","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
525,525,586. Drinks & Bites in Siem Reap Private Tour,Night Tours,23.0,2–3 hours,37.99,"Private guide, 3 bites (one being beef satay), 3 drinks (fresh sugar cane juice, non-alcoholic available), Vegetarian alternatives","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
725,725,786. Private Taxi Siem Reap - Kampot Overland Transfer,9–10 hours,3.0,9–10 hours,116.27,"Air-conditioned vehicle, Private transportation, Gasoline, Toll, Parking, Passenger Insurance, Stop for food and toilet break","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
55,55,86. Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133.0,6+ hours,90,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
638,638,699. 10 Must-See Temples in Angkor Park (Private Guided Tour with SUV Car Driver),Bus Tours,5.0,7–8 hours,75,"Cool Drinking Water and Towels, Air-conditioned vehicle, Private transportation, English Speaking Guide, This is 100% Private tour (Just You, Your Guide & SUV Car Driver)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
302,302,363. Day in a Life Authentic Village Experience in Siem Reap,6+ hours,8.0,6+ hours,68.72,"Professional English speaking guide, Transport by air-conditioned minivan, Private tour, Hotel pickup, drop off at our centrally located office, Ox cart ride & all activities, Khmer hot lunch, freshly prepared, Donation to HUSK Cambodia, Bottled water and cold towels, Transport by private vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2766,2766,From Siem Reap: Angkor Wat and Floating Village 3-Day Trip,Multi-day-Tours,53.0, 3 days  (approx.),$148.50 ,"Vaccinated English speaking tour guide & driver, Private transport by air-conditioned vehicle, Free cool water and towels during the tour, Hotel pick-up and drop off, Breakfast (Taste the authentic food with desserts) Only Day 3","Siem Reap, Cambodia",star-5
3278,3278,Full-Day Temples of Angkor Small Group Tour - Free Hotel Pick up,Nature-and-Wildlife,, 8 hours (approx.),$16.00 ,"Hotel pickup and drop-off, licensed and experienced English speaking tour guide, Transport by air-conditioned minivan, Mineral water & cool towel, Local tax","Siem Reap, Cambodia",
1276,1276,1337. Ancient Temples Explorer with sunset by Tuk Tuk,Full-day Tours,,7–8 hours,38.98,"Experienced English speaking local guide, Tuk Tuk (local transport) 2 person per Tuk Tuk, Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3311,3311,Khmer family food set,Dining-Experiences,, 2 hours (approx.),$25.00 ,Bottled water,"Krong Siem Reap, Cambodia",
624,624,685. Private Tour of Angkor Wat and Floating Village,Bus Tours,6.0,2 days,60,"Chilled bottled water, Air-conditioned vehicle, English-speaking tour guide, Pick-up and drop-off, Boat ticket","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2055,2055,2116. Angkor Wat Full-day Small group tour,Full-day Tours,,6+ hours,49,"Professional guide, Hotel pickup and drop-off, Air-conditioned vehicle, Cold drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1280,1280,1341. Angkor Full Day Private Tour with 2 Extra,Full-day Tours,,6+ hours,69,"Private transportation, English speaking tour guide, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1049,1049,1110. 1 day-Temple Tours + Sunrise,Full-day Tours,1.0,8–9 hours,99,"Fuel surcharge, Parking Fees, Bottled water, Air-conditioned vehicle, English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
336,336,"397. Full Day From Siem Reap - Bamboo Train, Killing Cave & Sunset (Free Pick up)",Full-day Tours,,6+ hours,155,"Entry Fees, Pick-up and drop-off hotel in Siem Reap, Air-conditioned vehicle, Drinking water and cool towel during trip, Entry/Admission(Bamboo Train Battambang,Wat Banan Temple,The Killing, Private transportation, Entry/Admission - Battambang, Entry/Admission - Wat Banan Temple, Entry/Admission - Phnom Sampeau","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
47,47,78. Privately Guided Full Day TukTuk City Tour of Phnom Penh and Area,Full-day Tours,7.0,8–9 hours,60,Bottled water,"Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
106,106,137. Phnom Penh to Siem Reap by Private Car or Minivan,5–6 hours,12.0,5–6 hours,63,"Hotel pickup and drop-off or pickup from the airport, Good car with good air conditioned, Professional driver, All toll fees, Toilet stop","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
2397,2397,"2458. Sidetrack, Sidecars",Rentals,,4–8 hours,110,"• Safety briefing • Pick up/Drop off from your Hotel • CHANG JIANG 750 motorcycle and sidecar • Helmet • Local experienced drivers • Fuel, other","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1079,1079,1140. Siem Reap Private Sunset City Tour,Luxury Car Tours,1.0,6 hours,61.54,"Professional English speaking tour guide, A/C Lexus/mini van /mini bus with licensed driver, Cold water and Cold towels, Gratuity is recommended, pick up and transfer","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2286,2286,2347. Border Transfer (Siem Reap to Laos),6+ hours,,6+ hours,125.06,"Drop-off at the Laos border, Over land transport from Siem Reap city to the national border at Laos (by your chosen vehicle), Hotel pick-up, Cold towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2261,2261,2322. Beautiful Phnom Penh Capital City Tour,Full-day Tours,,6+ hours,55,"Pick up and Drop off, English speaking guide, Drinking water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1144,1144,1205. Ancient Temples Explorer with Sunset by Vehicle,Full-day Tours,1.0,7–8 hours,44.88,"Air-conditioned vehicle, Experienced English speaking local guide, Pick up & drop off (from/at your hotel), Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",4
2992,2992,Kampong Phluk Floating Village and Roluos Group Tour,Full-day-Tours,, 8 to 9 hours (approx.),$71.66 ,"Air-conditioned vehicle, Cool water and towels, Experienced English speaking local guide, Pick up / drop off from / at your hotel, Boat trip, Entrance to the floating village","Siem Reap, Cambodia",
2296,2296,2357. Private One Day to Kulen Mountain and Kompong Khleang,Bus Tours,,5–8 hours,250,"Bottled water, Professional guide, Hotel pickup and drop-off, Private tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1836,1836,1897. Full-Day Private Tour of Angkor Wat Temples,Bus Tours,,6+ hours,100,"Coffee and/or Tea, Bottled water, Air-conditioned vehicle, Free entry, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1753,1753,1814. ViP Sunrise Full Day Angkor Wat tour,Full-day Tours,,6+ hours,84.11,"Professional English speaking tour guide, Motor Bike and Helmet, Cool pure drinking bottle of water, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1101,1101,1162. Private Angkor Bakeng Sunset Hidden gem bike tour,Full-day Tours,1.0,6+ hours,76.93,"English speaking guide with license, Standard bike and helmet, Cold bottle of water and towels, Gratuity is recommended, pick up and drop off, tuk tuk for following up during the tour, Fruit Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1968,1968,2029. Cycling Tour on Silk Island,Full-day Tours,,6–8 hours,83.34,"local bike, Transport by private vehicle, Local guide, All taxes, fees and handling charges, Water and refreshment towels during the tours, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3402,3402,Three-wheeled exploration of the Angkor temples,Full-day-Tours,, 10 hours (approx.),$57.70 ,"A professional English-speaking guide., Transportation by tuk tuk / remork, inclusive of return hotel transfers, All applicable taxes and service charges, Lunch at a local restaurant is included (food only)","Siem Reap, Cambodia",
3450,3450,Siem Reap Countryside Tour and Cooking Class,Cooking-Classes,2.0, 1 day  (approx.),$85.00 ,"Transport, Ingredients for cooking class, English Speaking Tour Guide, Ox Cart Ride, Lunch","Siem Reap, Cambodia",star-5
523,523,584. Angkor Wat Bayon Ta Prohm Temple Historical Shared Tour,Private and Luxury,15.0,5–7 hours,39.9,"English Speaking Tour guide, Transportation:1-3 people Remork (Tuk Tuk)/ 4-12 people Mini Van, Drinking Water and Cold Towels, Hotel Pickup and Drop Off, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2280,2280,2341. Siem Reap Quad Bike Countryside Tour for 1 hour & 30 minute driving,Adventure Tours,,1–2 hours,56.25,"Helmet and facemask, Safety driving, briefing, and training, Quad Bike Polaris Trailboss 330 with guide who show you the way, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2692,2692,Highlight of Angkor Complex 2 Days Private Tour,Overnight-Tours,10.0, 2 days  (approx.),$25.00 ,"Hotel pickup and drop-off ( please provide us your hotel name and hotel address ), Professional English Speaking license tour guide, All private transfer by comfortable vehicle as mentioned in the tours itinerary, Services charge and current government VAT tax, Drink water and cool fresh Tissue for the whole trips","Siem Reap, Cambodia",star-5
1428,1428,1489. Roluos Group and Sunset Shared Tour,Private and Luxury,,6–8 hours,65,"English Speaking Tour guide, Vehicle with A/C, Drinking Water and Cold Towels, Hotel Pickup and Drop Off, 50% of the profits we will make with your booking will go directly to support the local disadvantaged communities","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets",
2581,2581,"Professional Photo Shoot in Angkor Archaeological Park, Siem Reap",Photography-Tours,4.0, 1 day 8 hours (approx.),,"Personal speaking guide, Transportation, Pick up and drop off, Fresh water","Krong Siem Reap, Cambodia",star-5
3277,3277,Angkor Wat Sunrise and Siem Reap temples in small group,National-Holidays,, 6 to 7 hours (approx.),$30.00 ,"Air-conditioned vehicle, English Speaking Guide, Free cool & cool towels during touring, All local applicable taxes","Krong Siem Reap, Cambodia",
603,603,664. Private Siem Reap Countryside Tour by Jeep with Local Food Experience,Day Trips,6.0,5 hours,66.67,"Private transportation by US Army Jeep, ENGLISH speaking guide, For morning experience, For afternoon experience, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1489,1489,1550. Private 3-Day Tour in Siem Reap & Phnom Penh,Bus Tours,,3 days,564.11,"Bottled water, Professional guide, Hotel pickup and drop-off, Private Transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2943,2943,Four Hand Relaxing Oil Massage,Day-Spas,11.0, 1 hour 30 minutes (approx.),$70.00 ,"Welcome drink, 90minutes massage treatment","Phnom Penh, Cambodia",star-5
3058,3058,3-Day Angkor Wat & All Interesting Major Temples & Kulen Mount Waterfall,Multi-day-Tours,24.0, 3 days  (approx.),$233.50 ,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Siem Reap, Cambodia",star-5
60,60,91.  Sunrise Angkor Wat Half Day Join-In Tour (by luxury MiniVan),Full-day Tours,966.0,7–8 hours,15,"Cold towels & Water, Local taxes, Professional English Spoken Tour Guide, Hotel pickup (4:20am to 4:50am), Transport by luxury air-conditioned mini-bus, Hotel Drop off (12:30pm)","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets",5
3528,3528,4 Days & 3 Nights Package Tours,Multi-day-Tours,, 4 days  (approx.),$174.36 ,"Air-conditioned vehicle, Transportation by Tuk Tuk for 1 or 2 people, Drinking Water during the tour, English Speaking Tour Guide, Breakfast (3)","Svay Dangkum, Cambodia",
671,671,"732. Tonle Sap, Mechrey Floating Village - Half Day Tour",Bus Tours,4.0,3–4 hours,58.98,"English-Speaking Tour Guide, Transport ( AC car or minivan or minibus, Boat ride, Bottles of cold drinking Water, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
92,92,123. Apsara Dance Performance - Including Buffet Dinner & Hotel Pickup,1–2 hours,1.0,1–2 hours,25,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Round trip transfer by tuk tuk, Dinner - Buffet dinner, Entry/Admission (Amazon Angkor Restaurant)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
666,666,727. Best of Siem Reap 5 Days Private Tours,Luxury Car Tours,4.0,3+ days,357,"Breakfast, Breakfast, Breakfast, Breakfast, Accommodation with daily breakfast based on Double or Twin or triple sharing in Price option, All entrance fees for tours sites as mentioned in itinerary, Professional English Speaking Tour Guide, All transfer by private air conditioning vehicle, Private boat tours to Tonle Sap and floating village, Drinks water and fresh tissue for the whole trips, Entry/Admission - Siem Reap, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Angkor Thom, Entry/Admission - Siem Reap, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Ta Nei Temple, Entry/Admission - Ta Prohm, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Ta Som, Entry/Admission - Pre Rup, Entry/Admission - Phnom Bakheng, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kampong Phluk Floating Village, Entry/Admission - Siem Reap, Entry/Admission - Preah Ko, Entry/Admission - Lolei, Entry/Admission - Wat Bo Temple, Entry/Admission - Royal Residence, Entry/Admission - Preah Ang Chek Preah Ang Chom Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1887,1887,1948. Private TUK-TUK Tour: Angkor wat + Lady Temple,Full-day Tours,,6+ hours,50,"Private transportation, English speaking driver with license, Cool pure drinking water and towels, Free pick up at hotel and drop off at the town.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
280,280,341. Private Tour Of Phnom Kulen Mountain & Kampong Phluk Lake Cruise,Full-day Tours,11.0,8–9 hours,90,"Vaccinated English speaking tour guide with license, Vaccinated experienced driver, Private vehicle with A/C (Car or Minivan), Free cool water and cool towel during tour, Petrol, toll and parking fees","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1719,1719,1780. Rolous Group and Floating Village Tour,Bus Tours,,6–7 hours,39.75,"English speaking guide, Refreshment drink & cold towel, Air-conditioned vehicle, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
359,359,420. Phnom Penh to Sihanoukville by Private Car or Minivan,Bike Tours,,4 hours,49,"Hotel pickup and drop-off from hotel only (if airport surcharge 20USD per car), Good car with good air conditioned, Professional driver, Toilet stop, All toll fees","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
899,899,960. Half Day Trip to Killing Field and Genocidal Museum,Bus Tours,1.0,3–4 hours,120,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Hotel pick-up & drop-off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
1935,1935,1996. Private Angkor 3 main temples authentic bike tour,Full-day Tours,,6+ hours,57.7,"Professional English speaking guide, Standard bike and helmet, Cold bottle of water and towels, tuk tuk for following up during the tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1994,1994,"2055. Phnom Kulen, 1000 Linga River and Waterfall Small Group Day - Join Tour",Adventure Tours,,6 hours,45,"Local live English Speaking Guide, Shared air conditioned van/bus, Bottled water, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2897,2897,Full-Day private Angkor Temples Tour from Siem Reap,Day-Trips,7.0, 7 to 8 hours (approx.),$39.00 ,"English Speaking Tour Guide, Private air-conditioned vehicle, Hotel pick up and drop off, Bottled water","Siem Reap, Cambodia",star-5
760,760,821. Half-Day Angkor Tuk-Tuk Explorer Tour from Siem Reap,Full-day Tours,2.0,6+ hours,41.67,"Hotel pickup and drop-off, Professional guide, Mineral Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",4.5
2158,2158,2219. Private Traditional Fishing Boat Tour in Phnom Penh,Bus Tours,,4 hours,84.62,"Bottled water, Breakfast, Hotel pickup, Private Guide, Traditional fishing boat and crew, Life Jacket, Private transport of your choice and driver","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3295,3295,Full-day private car charter from Siem Reap city to Phnom Kulen x Beng Mealea,Airport-and-Ground-Transfers,, 20 minutes (approx.),,"Air-conditioned vehicle, Fuel surcharge, Parking Fees, Private transportation","Siem Reap, Cambodia",
42,42,73. Bangkok to Angkor Wat Tour 3 Days 2 Nights from Bangkok,Multi-day Tours,8.0,3 days,490,"Hotel pickup and drop-off, Private tour by air-conditioning vehicle, 2 nights accommodation at standard hotel with breakfast, Licensed tour guide, Temples Ticket, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Preah Khan, Entry/Admission - Ta Prohm Temple, Entry/Admission - Angkor Wat","Asia, Thailand, Bangkok, Things to Do in Bangkok, Bangkok Tours, Tours and Tickets",5
2173,2173,2234. Major Temples & Kulen mountain & Koh Ker & Beng Mealea - 4 Days,Adventure Tours,,3+ days,245,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
